,id_left,text_left,id_right,text_right,label
0,Q1,how are glacier caves formed?,D1-0,A partly submerged glacier cave on Perito Moreno Glacier .,0.0
1,Q1,how are glacier caves formed?,D1-1,The ice facade is approximately 60 m high,0.0
2,Q1,how are glacier caves formed?,D1-2,Ice formations in the Titlis glacier cave,0.0
3,Q1,how are glacier caves formed?,D1-3,A glacier cave is a cave formed within the ice of a glacier .,1.0
4,Q1,how are glacier caves formed?,D1-4,"Glacier caves are often called ice caves , but this term is properly used to describe bedrock caves that contain year-round ice.",0.0
5,Q2,How are the directions of the velocity and force vectors related in a circular motion,D2-0,"In physics , circular motion is a movement of an object along the circumference of a circle or rotation along a circular path.",0.0
6,Q2,How are the directions of the velocity and force vectors related in a circular motion,D2-1,"It can be uniform, with constant angular rate of rotation (and constant speed), or non-uniform with a changing rate of rotation.",0.0
7,Q2,How are the directions of the velocity and force vectors related in a circular motion,D2-2,The rotation around a fixed axis of a three-dimensional body involves circular motion of its parts.,0.0
8,Q2,How are the directions of the velocity and force vectors related in a circular motion,D2-3,The equations of motion describe the movement of the center of mass of a body.,0.0
9,Q2,How are the directions of the velocity and force vectors related in a circular motion,D2-4,"Examples of circular motion include: an artificial satellite orbiting the Earth at constant height, a stone which is tied to a rope and is being swung in circles, a car turning through a curve in a race track , an electron moving perpendicular to a uniform magnetic field , and a gear turning inside a mechanism.",0.0
10,Q2,How are the directions of the velocity and force vectors related in a circular motion,D2-5,"Since the object's velocity vector is constantly changing direction, the moving object is undergoing acceleration by a centripetal force in the direction of the center of rotation.",0.0
11,Q2,How are the directions of the velocity and force vectors related in a circular motion,D2-6,"Without this acceleration, the object would move in a straight line, according to Newton's laws of motion .",0.0
12,Q5,how did apollo creed die,D5-0,"Apollo Creed is a fictional character from the Rocky films , initially portrayed as the Undisputed Heavyweight Champion of the World.",0.0
13,Q5,how did apollo creed die,D5-1,He was played by Carl Weathers .,0.0
14,Q5,how did apollo creed die,D5-2,"Creed had multiple nicknames, including The Master of Disaster, The King of Sting, The Dancing Destroyer, The Prince of Punch, The One and Only and The Count of Monte Fisto.",0.0
15,Q5,how did apollo creed die,D5-3,"Urban legend states that Apollo Creed's name is a wordplay on the Apostles' Creed , a statement of belief used in Christian churches.",0.0
16,Q5,how did apollo creed die,D5-4,All of Apollo's championship fights were scheduled for the 15 round distance.,0.0
17,Q5,how did apollo creed die,D5-5,Championship fights did not convert from 15 rounds to 12 rounds until 1987.,0.0
18,Q5,how did apollo creed die,D5-6,"Rocky Balboa is often wrongly credited with popularizing the red, white, and blue trunks; Creed was the first man to wear them (latterly worn by Rocky Balboa in the 3rd and 4th installments and finally by Tommy ""The Machine"" Gunn ( Tommy Morrison ) in the 5th installment) although normally he wore red and white, as seen in Rocky II.",0.0
19,Q5,how did apollo creed die,D5-7,Balboa's signature colors were black and gold—colors he used in the latest movie .,0.0
20,Q6,how long is the term for federal judges,D6-0,"In the United States, the title of federal judge usually means a judge appointed by the President of the United States and confirmed by the United States Senate pursuant to the Appointments Clause in Article II of the United States Constitution .",0.0
21,Q6,how long is the term for federal judges,D6-1,"In addition to the Supreme Court of the United States , whose existence and some aspects of whose jurisdiction are beyond the constitutional power of Congress to alter, acts of Congress have established 13 courts of appeals (also called ""circuit courts"") with appellate jurisdiction over different regions of the United States, and 94 United States district courts .",0.0
22,Q6,how long is the term for federal judges,D6-2,"Every judge appointed to such a court may be categorized as a federal judge; such positions include the Chief Justice and Associate Justices of the Supreme Court, Circuit Judges of the courts of appeals, and district judges of the United States district courts .",0.0
23,Q6,how long is the term for federal judges,D6-3,"All of these judges described thus far are referred to sometimes as ""Article III judges"" because they exercise the judicial power vested in the judicial branch of the federal government by Article III of the U.S. Constitution.",0.0
24,Q6,how long is the term for federal judges,D6-4,"In addition, judges of the Court of International Trade exercise judicial power pursuant to Article III.",0.0
25,Q6,how long is the term for federal judges,D6-5,"Other judges serving in the federal courts, including magistrate judges and bankruptcy judges , are also sometimes referred to as ""federal judges""; however, they are neither appointed by the President nor confirmed by the Senate, and their power derives from Article I instead.",0.0
26,Q6,how long is the term for federal judges,D6-6,See Article I and Article III tribunals .,0.0
27,Q7,how a beretta model 21 pistols magazines works,D7-0,The Beretta 21A Bobcat is a small pocket-sized semi-automatic pistol designed by Beretta in Italy.,0.0
28,Q7,how a beretta model 21 pistols magazines works,D7-1,"Production began in late 1984, solely in the Beretta U.S.A. facility in Accokeek, Maryland.",0.0
29,Q7,how a beretta model 21 pistols magazines works,D7-2,"It is a further development of the Beretta Model 20, whose production ended in 1985.",0.0
30,Q9,how a vul works,D9-0,Variable Universal Life Insurance (often shortened to VUL) is a type of life insurance that builds a cash value.,0.0
31,Q9,how a vul works,D9-1,"In a VUL, the cash value can be invested in a wide variety of separate accounts , similar to mutual funds , and the choice of which of the available separate accounts to use is entirely up to the contract owner.",0.0
32,Q9,how a vul works,D9-2,The 'variable' component in the name refers to this ability to invest in separate accounts whose values vary—they vary because they are invested in stock and/or bond markets.,0.0
33,Q9,how a vul works,D9-3,The 'universal' component in the name refers to the flexibility the owner has in making premium payments.,0.0
34,Q9,how a vul works,D9-4,The premiums can vary from nothing in a given month up to maximums defined by the Internal Revenue Code for life insurance.,0.0
35,Q9,how a vul works,D9-5,"This flexibility is in contrast to whole life insurance that has fixed premium payments that typically cannot be missed without lapsing the policy (although one may exercise an Automatic Premium Loan feature, or surrender dividends to pay a Whole Life premium).",0.0
36,Q9,how a vul works,D9-6,"Variable universal life is a type of permanent life insurance , because the death benefit will be paid if the insured dies any time as long as there is sufficient cash value to pay the costs of insurance in the policy.",0.0
37,Q9,how a vul works,D9-7,"With most if not all VULs, unlike whole life, there is no endowment age (the age at which the cash value equals the death benefit amount, which for whole life is typically 100).",0.0
38,Q9,how a vul works,D9-8,This is yet another key advantage of VUL over Whole Life.,0.0
39,Q9,how a vul works,D9-9,"With a typical whole life policy, the death benefit is limited to the face amount specified in the policy, and at endowment age, the face amount is all that is paid out.",0.0
40,Q9,how a vul works,D9-10,"Thus with either death or endowment, the insurance company keeps any cash value built up over the years.",0.0
41,Q9,how a vul works,D9-11,"However, some participating whole life policies offer riders which specify that any dividends paid on the policy be used to purchase ""paid up additions"" to the policy which increase both the cash value and the death benefit over time.",0.0
42,Q9,how a vul works,D9-12,"If investments made in the separate accounts out-perform the general account of the insurance company, a higher rate-of-return can occur than the fixed rates-of-return typical for whole life.",0.0
43,Q9,how a vul works,D9-13,"The combination over the years of no endowment age, continually increasing death benefit, and if a high rate-of-return is earned in the separate accounts of a VUL policy, this could result in higher value to the owner or beneficiary than that of a whole life policy with the same amounts of money paid in as premiums.",0.0
44,Q10,how an outdoor wood boiler works,D10-0,The outdoor wood boiler is a variant of the classic wood stove adapted for set-up outdoors while still transferring the heat to interior buildings.,0.0
45,Q12,how big did girl scout cookie boxes used to be,D12-0,A mound of Girl Scout cookies.,0.0
46,Q12,how big did girl scout cookie boxes used to be,D12-1,This mound contains 74 boxes of cookies,0.0
47,Q12,how big did girl scout cookie boxes used to be,D12-2,Girl Scout Cookies are cookies sold by Girl Scouts of the USA (GSUSA) as one of its major fundraisers for local Scout units.,0.0
48,Q12,how big did girl scout cookie boxes used to be,D12-3,Members of the GSUSA have been selling cookies since 1917 to raise funds.,0.0
49,Q12,how big did girl scout cookie boxes used to be,D12-4,Girls who participate can earn prizes for their efforts.,0.0
50,Q12,how big did girl scout cookie boxes used to be,D12-5,There are also unit incentives if the unit as a whole does well.,0.0
51,Q12,how big did girl scout cookie boxes used to be,D12-6,"As of 2007, sales were estimated at about 200 million boxes per year.",0.0
52,Q13,how big is the purdue greek system,D13-0,University Hall,0.0
53,Q13,how big is the purdue greek system,D13-1,"Purdue University, located in West Lafayette, Indiana , is the flagship university of the six-campus Purdue University system .",0.0
